species;genus;family;order;class;phylum;kingdom
Anomala lucicola;Anomala;Rutelidae;Coleoptera;Insecta;Arthropoda;Animalia
Anomala zambesicola;Anomala;Rutelidae;Coleoptera;Insecta;Arthropoda;Animalia
Anonychomyrma myrmex;Anonychomyrma;Formicidae;Hymenoptera;Insecta;Arthropoda;Animalia
Anopheles rageaui;Anopheles;Culicidae;Diptera;Insecta;Arthropoda;Animalia
Anorostoma opacum;Anorostoma;Heleomyzidae;Diptera;Insecta;Arthropoda;Animalia
Antaeotricha phryactis;Antaeotricha;Oecophoridae;Lepidoptera;Insecta;Arthropoda;Animalia
Antennoseius dungeri;Antennoseius;Ascidae;Mesostigmata;Arachnida;Arthropoda;Animalia
Anthemis xylopoda;Anthemis;Asteraceae;Asterales;Magnoliopsida;Tracheophyta;Plantae
Anthocanalis spartii;Anthocanalis;Hypoxylaceae;Xylariales;Sordariomycetes;Ascomycota;Fungi
Anthoceros neesii;Anthoceros;Anthocerotaceae;Anthocerotales;Anthocerotopsida;Anthocerotophyta;Plantae
Anthomastus grandiflorus;Anthomastus;Alcyoniidae;Alcyonacea;Anthozoa;Cnidaria;Animalia
Anthostomella arthrophylli;Anthostomella;Xylariaceae;Xylariales;Sordariomycetes;Ascomycota;Fungi
Anthurium gaffurii;Anthurium;Araceae;Alismatales;Liliopsida;Tracheophyta;Plantae
Anthurium palmarense;Anthurium;Araceae;Alismatales;Liliopsida;Tracheophyta;Plantae
Anthurium rodrigueziae;Anthurium;Araceae;Alismatales;Liliopsida;Tracheophyta;Plantae
Antidaphne andina;Antidaphne;Santalaceae;Santalales;Magnoliopsida;Tracheophyta;Plantae
Antidesma heterophyllum;Antidesma;Phyllanthaceae;Malpighiales;Magnoliopsida;Tracheophyta;Plantae
Antipathes gallensis;Antipathes;Antipathidae;Antipatharia;Anthozoa;Cnidaria;Animalia
Antithamnion percurrens;Antithamnion;Ceramiaceae;Ceramiales;Florideophyceae;Rhodophyta;Plantae
Antodynerus magadensis;Antodynerus;Eumenidae;Hymenoptera;Insecta;Arthropoda;Animalia
Antongilus cribrifrons;Antongilus;Histeridae;Coleoptera;Insecta;Arthropoda;Animalia
Anurophorus lydiae;Anurophorus;Isotomidae;Collembola;Entognatha;Arthropoda;Animalia
Apedalmus oculatus;Apedalmus;Issidae;Hemiptera;Insecta;Arthropoda;Animalia
Aphaenogaster cavernicola;Aphaenogaster;Formicidae;Hymenoptera;Insecta;Arthropoda;Animalia
Aphanocapsa feldmannii;Aphanocapsa;Chroococcaceae;Chroococcales;Cyanophyceae;Cyanobacteria;Bacteria
Aphanomyces camptostylus;Aphanomyces;Leptolegniaceae;Saprolegniales;Peronosporea;Oomycota;Chromista
Aphirape uncifera;Aphirape;Salticidae;Araneae;Arachnida;Arthropoda;Animalia
Aphis pseudocomosa;Aphis;Aphididae;Hemiptera;Insecta;Arthropoda;Animalia
Aphodius bidentatus;Aphodius;Aphodiidae;Coleoptera;Insecta;Arthropoda;Animalia
Aphonopelma caniceps;Aphonopelma;Theraphosidae;Araneae;Arachnida;Arthropoda;Animalia
Aphrogenia villosa;Aphrogenia;Aphroditidae;Phyllodocida;Polychaeta;Annelida;Animalia
Aphropsis maxima;Aphropsis;Aphrophoridae;Hemiptera;Insecta;Arthropoda;Animalia
Apiospora sparsa;Apiospora;Apiosporaceae;Xylariales;Sordariomycetes;Ascomycota;Fungi
Apochthonius malheuri;Apochthonius;Chthoniidae;Pseudoscorpiones;Arachnida;Arthropoda;Animalia
Apocricetus alberti;Apocricetus;Cricetidae;Rodentia;Mammalia;Chordata;Animalia
Apodacra bajanchongorica;Apodacra;Sarcophagidae;Diptera;Insecta;Arthropoda;Animalia
Apodasya pilosa;Apodasya;Cerambycidae;Coleoptera;Insecta;Arthropoda;Animalia
Apteronotus macrolepis;Apteronotus;Apteronotidae;Gymnotiformes;Actinopterygii;Chordata;Animalia
Arachnodes kelifelyi;Arachnodes;Scarabaeidae;Coleoptera;Insecta;Arthropoda;Animalia
Arachnotheutes rufithorax;Arachnotheutes;Pompilidae;Hymenoptera;Insecta;Arthropoda;Animalia
Araripegryllus camposae;Araripegryllus;Gryllidae;Orthoptera;Insecta;Arthropoda;Animalia
Araucaria heterophylla;Araucaria;Araucariaceae;Pinales;Pinopsida;Tracheophyta;Plantae
Archibasis mimetes;Archibasis;Coenagrionidae;Odonata;Insecta;Arthropoda;Animalia
Archisotoma subbrucei;Archisotoma;Isotomidae;Collembola;Entognatha;Arthropoda;Animalia
Archypolycope bonaducei;Archypolycope;Polycopidae;Halocyprida;Ostracoda;Arthropoda;Animalia
Arcoppia serrulata;Arcoppia;Oppiidae;Sarcoptiformes;Arachnida;Arthropoda;Animalia
Arctitreta triangularis;Arctitreta;Schuchertellidae;Orthotetida;Strophomenata;Brachiopoda;Animalia
Arctornis kumatai;Arctornis;Erebidae;Lepidoptera;Insecta;Arthropoda;Animalia
Arctosa personata;Arctosa;Lycosidae;Araneae;Arachnida;Arthropoda;Animalia
Arctostaphylos wellsii;Arctostaphylos;Ericaceae;Ericales;Magnoliopsida;Tracheophyta;Plantae
Ardisia atrovirens;Ardisia;Primulaceae;Ericales;Magnoliopsida;Tracheophyta;Plantae
Argyractoides catenalis;Argyractoides;Crambidae;Lepidoptera;Insecta;Arthropoda;Animalia
Argyreia ooststroomii;Argyreia;Convolvulaceae;Solanales;Magnoliopsida;Tracheophyta;Plantae
Argyresthia inscriptella;Argyresthia;Argyresthiidae;Lepidoptera;Insecta;Arthropoda;Animalia
Argyrolobium aciculare;Argyrolobium;Fabaceae;Fabales;Magnoliopsida;Tracheophyta;Plantae
Argyrolobium rarum;Argyrolobium;Fabaceae;Fabales;Magnoliopsida;Tracheophyta;Plantae
Aristida brasiliensis;Aristida;Poaceae;Poales;Liliopsida;Tracheophyta;Plantae
Arminda burri;Arminda;Acrididae;Orthoptera;Insecta;Arthropoda;Animalia
Arnoglossus oxyrhynchus;Arnoglossus;Bothidae;Pleuronectiformes;Actinopterygii;Chordata;Animalia
